"Group","YEAR","HAUL_COUNT","CATCH_COUNT","roundBiomass","roundCV"
"Pacific Sleeper Shark",1985,353,0,0,0
"Pacific Sleeper Shark",1986,354,0,0,0
"Pacific Sleeper Shark",1987,343,0,0,0
"Pacific Sleeper Shark",1988,353,0,0,0
"Pacific Sleeper Shark",1989,354,0,0,0
"Pacific Sleeper Shark",1990,351,0,0,0
"Pacific Sleeper Shark",1991,352,0,0,0
"Pacific Sleeper Shark",1992,336,2,2514,0.72
"Pacific Sleeper Shark",1993,355,0,0,0
"Pacific Sleeper Shark",1994,355,2,4976,0.82
"Pacific Sleeper Shark",1995,356,1,1001,1
"Pacific Sleeper Shark",1996,355,2,2817,0.82
"Pacific Sleeper Shark",1997,356,0,0,0
"Pacific Sleeper Shark",1998,355,1,2115,1
"Pacific Sleeper Shark",1999,353,2,2071,0.71
"Pacific Sleeper Shark",2000,352,1,1457,1
"Pacific Sleeper Shark",2001,355,0,0,0
"Pacific Sleeper Shark",2002,355,3,5576,0.65
"Pacific Sleeper Shark",2003,356,1,727,1
"Pacific Sleeper Shark",2004,355,2,3114,0.71
"Pacific Sleeper Shark",2005,353,2,1687,0.76
"Pacific Sleeper Shark",2006,356,2,2943,0.78
"Pacific Sleeper Shark",2007,356,0,0,0
"Pacific Sleeper Shark",2008,355,0,0,0
"Pacific Sleeper Shark",2009,356,0,0,0
"Pacific Sleeper Shark",2010,356,4,5282,0.53
"Pacific Sleeper Shark",2011,356,1,763,1
"Pacific Sleeper Shark",2012,356,1,266,1
"Pacific Sleeper Shark",2013,356,0,0,0
"Pacific Sleeper Shark",2014,356,0,0,0
"Pacific Sleeper Shark",2015,356,2,2583,0.85
"Pacific Sleeper Shark",2016,356,3,3050,0.84
"Pacific Sleeper Shark",2017,356,1,1301,1
"Pacific Sleeper Shark",2018,356,1,823,1
"Pacific Sleeper Shark",2019,356,0,0,0
"Pacific Sleeper Shark",2021,356,1,443,1
"Pacific Sleeper Shark",2022,356,2,7686,0.92
"Salmon Shark",1982,329,0,0,0
"Salmon Shark",1983,353,0,0,0
"Salmon Shark",1984,355,0,0,0
"Salmon Shark",1985,353,0,0,0
"Salmon Shark",1986,354,0,0,0
"Salmon Shark",1987,343,0,0,0
"Salmon Shark",1988,353,1,3793,1
"Salmon Shark",1989,354,0,0,0
"Salmon Shark",1990,351,0,0,0
"Salmon Shark",1991,352,0,0,0
"Salmon Shark",1992,336,0,0,0
"Salmon Shark",1993,355,0,0,0
"Salmon Shark",1994,355,0,0,0
"Salmon Shark",1995,356,0,0,0
"Salmon Shark",1996,355,0,0,0
"Salmon Shark",1997,356,0,0,0
"Salmon Shark",1998,355,0,0,0
"Salmon Shark",1999,353,0,0,0
"Salmon Shark",2000,352,0,0,0
"Salmon Shark",2001,355,0,0,0
"Salmon Shark",2002,355,0,0,0
"Salmon Shark",2003,356,0,0,0
"Salmon Shark",2004,355,0,0,0
"Salmon Shark",2005,353,0,0,0
"Salmon Shark",2006,356,0,0,0
"Salmon Shark",2007,356,0,0,0
"Salmon Shark",2008,355,0,0,0
"Salmon Shark",2009,356,0,0,0
"Salmon Shark",2010,356,0,0,0
"Salmon Shark",2011,356,0,0,0
"Salmon Shark",2012,356,0,0,0
"Salmon Shark",2013,356,0,0,0
"Salmon Shark",2014,356,0,0,0
"Salmon Shark",2015,356,0,0,0
"Salmon Shark",2016,356,0,0,0
"Salmon Shark",2017,356,0,0,0
"Salmon Shark",2018,356,0,0,0
"Salmon Shark",2019,356,0,0,0
"Salmon Shark",2021,356,0,0,0
"Salmon Shark",2022,356,0,0,0
"Sharks",1982,329,0,0,0
"Sharks",1983,353,2,381,0.83
"Sharks",1984,355,0,0,0
"Sharks",1985,353,1,46,1
"Sharks",1986,354,0,0,0
"Sharks",1987,343,3,213,0.6
"Sharks",1988,353,2,4040,0.94
"Sharks",1989,354,0,0,0
"Sharks",1990,351,0,0,0
"Sharks",1991,352,0,0,0
"Sharks",1992,336,2,2514,0.72
"Sharks",1993,355,0,0,0
"Sharks",1994,355,2,4976,0.82
"Sharks",1995,356,1,1001,1
"Sharks",1996,355,2,2817,0.82
"Sharks",1997,356,1,36,1
"Sharks",1998,355,2,2371,0.9
"Sharks",1999,353,2,2071,0.71
"Sharks",2000,352,1,1457,1
"Sharks",2001,355,0,0,0
"Sharks",2002,355,3,5576,0.65
"Sharks",2003,356,1,727,1
"Sharks",2004,355,3,3141,0.71
"Sharks",2005,353,2,1687,0.76
"Sharks",2006,356,2,2943,0.78
"Sharks",2007,356,0,0,0
"Sharks",2008,355,0,0,0
"Sharks",2009,356,1,70,1
"Sharks",2010,356,5,5369,0.52
"Sharks",2011,356,1,763,1
"Sharks",2012,356,1,266,1
"Sharks",2013,356,0,0,0
"Sharks",2014,356,0,0,0
"Sharks",2015,356,3,2674,0.82
"Sharks",2016,356,3,3050,0.84
"Sharks",2017,356,1,1301,1
"Sharks",2018,356,1,823,1
"Sharks",2019,356,0,0,0
"Sharks",2021,356,1,443,1
"Sharks",2022,356,4,7844,0.9
"PSS_SD",1982,329,0,0,0
"PSS_SD",1983,353,2,381,0.83
"PSS_SD",1984,355,0,0,0
"PSS_SD",1985,353,1,46,1
"PSS_SD",1986,354,0,0,0
"PSS_SD",1987,343,3,213,0.6
"PSS_SD",1988,353,1,247,1
"PSS_SD",1989,354,0,0,0
"PSS_SD",1990,351,0,0,0
"PSS_SD",1991,352,0,0,0
"PSS_SD",1992,336,2,2514,0.72
"PSS_SD",1993,355,0,0,0
"PSS_SD",1994,355,2,4976,0.82
"PSS_SD",1995,356,1,1001,1
"PSS_SD",1996,355,2,2817,0.82
"PSS_SD",1997,356,1,36,1
"PSS_SD",1998,355,2,2371,0.9
"PSS_SD",1999,353,2,2071,0.71
"PSS_SD",2000,352,1,1457,1
"PSS_SD",2001,355,0,0,0
"PSS_SD",2002,355,3,5576,0.65
"PSS_SD",2003,356,1,727,1
"PSS_SD",2004,355,3,3141,0.71
"PSS_SD",2005,353,2,1687,0.76
"PSS_SD",2006,356,2,2943,0.78
"PSS_SD",2007,356,0,0,0
"PSS_SD",2008,355,0,0,0
"PSS_SD",2009,356,1,70,1
"PSS_SD",2010,356,5,5369,0.52
"PSS_SD",2011,356,1,763,1
"PSS_SD",2012,356,1,266,1
"PSS_SD",2013,356,0,0,0
"PSS_SD",2014,356,0,0,0
"PSS_SD",2015,356,3,2674,0.82
"PSS_SD",2016,356,3,3050,0.84
"PSS_SD",2017,356,1,1301,1
"PSS_SD",2018,356,1,823,1
"PSS_SD",2019,356,0,0,0
"PSS_SD",2021,356,1,443,1
"PSS_SD",2022,356,4,7844,0.9
